title,price,image
Web Master Developer Pro,Rp. 698.600,https://academy.babastudio.com/course-package/images/packageCourse-1-190225211252.webp
Web Master Developer Pro Plus,Rp. 2.095.800,https://academy.babastudio.com/course-package/images/packageCourse-2-190122035635.webp
Web Master Developer Elite,Rp. 2.794.400,https://academy.babastudio.com/course-package/images/packageCourse-3-190122035716.webp
Web Master Developer Platinum,Rp. 5.000.000,https://academy.babastudio.com/course-package/images/packageCourse-4-190226060939.webp
Php Elite,Rp. 698.600,https://academy.babastudio.com/course-package/images/packageCourse-5-190122035927.webp
Php Platinum,Rp. 1.047.900,https://academy.babastudio.com/course-package/images/packageCourse-6-190122040009.webp
Full Package Komputer,Rp. 1.047.900,https://academy.babastudio.com/course-package/images/packageCourse-7-190122040052.webp
Internet Marketing Pro Plus,Rp. 2.000.000,https://academy.babastudio.com/course-package/images/packageCourse-8-190122040137.webp
Internet Marketing Platinum,Rp. 3.800.000,https://academy.babastudio.com/course-package/images/packageCourse-9-190122040215.webp
Paket Kursus Seo Pro,Rp. 1.000.000,https://academy.babastudio.com/course-package/images/packageCourse-14-190226055642.webp
Paket Kursus Desain Grafis Pla...,Rp. 1.500.000,https://academy.babastudio.com/course-package/images/packageCourse-16-190225211452.webp
Membangun Corporate Website Me...,Rp. 499.000,https://academy.babastudio.com/xxcourses/images/courses-1-190225210726.webp
